#,Match,Event,"Hours Watched","Peak Viewers","Average CCV",Airtime,Views,"Unique Auth viewers",Date
90,"FNC vs MAD","Week 1, Day 2",363211,327605,256384,"1h 25m",348210,59213,"12.06, 18:40 - 20:05"
91,"G2 vs S04","Week 1, Day 2",304770,382377,332476,55m,388793,65120,"12.06, 17:45 - 18:40"
92,"VIT vs RGE","Week 1, Day 2",279921,312970,279921,1h,291576,58481,"12.06, 16:45 - 17:45"
93,"MSF vs SK","Week 1, Day 2",225977,258273,225977,1h,244976,53370,"12.06, 15:45 - 16:45"
94,"Astralis vs XL","Week 1, Day 2",126394,196518,168525,45m,218092,40508,"12.06, 15:00 - 15:45"
95,"FNC vs MSF","Week 1, Day 1",379846,368939,303877,"1h 15m",452308,59674,"11.06, 19:45 - 21:00"
96,"VIT vs S04","Week 1, Day 1",245314,313757,294377,50m,327626,51437,"11.06, 18:55 - 19:45"
97,"XL vs RGE","Week 1, Day 1",219406,304415,292541,45m,253882,53004,"11.06, 18:10 - 18:55"
98,"Astralis vs SK","Week 1, Day 1",343838,316847,294718,"1h 10m",407312,70006,"11.06, 17:00 - 18:10"
99,"G2 vs MAD","Week 1, Day 1",333097,391558,333097,1h,511807,80076,"11.06, 16:00 - 17:00"
